aah	ɑ
critiqued	kɹɪtikd
critique	kɹɪtik
critiques	kɹɪtiks
critiquing	kɹɪtikɪŋ
critter	kɹɪtɐ
critters	kɹɪtəz
croaked	kɹəʊkt
croaker	kɹəʊkɐ
croaking	kɹəʊkɪŋ
croak	kɹəʊk
croaks	kɹəʊks
croaky	kɹəʊki
crocheted	kɹəʊʃeɪɪd
crocheter	kɹɒtʃɛtɐ
crocheting	kɹɒtʃɪtɪŋ
crochet	kɹəʊʃeɪ
crochets	kɹəʊʃeɪs
crocked	kɹɒkt
crockery	kɹɒkəɹi
crocket	kɹɒkɪt
crockets	kɹɒkɪts
crock	kɹɒk
crocks	kɹɒks
crocodile	kɹɒkədaɪl
crocodiles	kɹɒkədaɪlz
crocodilian	kɹɒkədɪliən
crocodilians	kɹɒkədɪliənz
crocuses	kɹəʊkəsɪz
crocus	kɹəʊkəs
crofter	kɹɒftɐ
crofters	kɹɒftəz
crofting	kɹɒftɪŋ
croft	kɹɒft
crofts	kɹɒfts
croissant	kwɑsɑ̃
croissants	kwɑsɑ̃s
cromlech	kɹɒmlɛtʃ
cromlechs	kɹɒmlɛtʃz
crone	kɹəʊn
crones	kɹəʊnz
cronies	kɹəʊnɪz
cronk	kɹɒŋk
cronyism	kɹəʊnɪɪzəm
crony	kɹəʊni
crookedly	kɹʊkɪdli
crookedness	kɹʊkɪdnəs
crooking	kɹʊkɪŋ
crook	kɹʊk
crooks	kɹʊks
crooned	kɹund
crooner	kɹunɐ
crooners	kɹunəz
crooning	kɹunɪŋ
croon	kɹun
croons	kɹunz
crop	kɹɒp
cropped	kɹɒpt
cropper	kɹɒpɐ
croppers	kɹɒpəz
cropping	kɹɒpɪŋ
crops	kɹɒps
croquet	kɹɒkeɪ
croquette	kɹəkɛt
croquettes	kɹəkɛts
crosier	kɹəʊzɪɐ
crosiers	kɹəʊsiəz
crossbar	kɹɒsbɑ
crossbars	kɹɒsbɑz
crossbeams	kɹɒsbimz
crossbill	kɹɒsbɪl
crossbills	kɹɒsbɪlz
crossbones	kɹɒsbəʊnz
crossbow	kɹɒsbəʊ
crossbows	kɹɒsbəʊz
crossbred	kɹɒsbɹɛd
crossbreeding	kɹɒsbɹidɪŋ
crossbreed	kɹɒsbɹid
crossbreeds	kɹɒsbɹidz
crosscheck	kɹɒstʃɛk
crossed	kɹɒst
crosse	kɹɒs
crosser	kɹɒsɐ
crosses	kɹɒsɪz
crossest	kɹɒsəst
crossfire	kɹɒsfaɪə
crosshair	kɹɒsheə
crosshatched	kɹɒshætʃt
crosshatches	kɹɒshætʃɪz
crosshatching	kɹɒshætʃɪŋ
crosshatch	kɹɒshætʃ
crosshead	kɹɒshɛd
crossing	kɹɒsɪŋ
crossings	kɹɒsɪŋz
cross	kɹɒs
crossly	kɹɒsli
crossness	kɹɒsnəs
crossover	kɹɒsəʊvɐ
crossovers	kɹɒsəʊvəz
crosspatch	kɹɒspætʃ
crosspieces	kɹɒspisɪz
crossroad	kɹɒsɹəʊd
crossroads	kɹɒsɹəʊdz
crosstalk	kɹɒstɔk
crosstown	kɹɒstaʊn
crosswalk	kɹɒswɔk
crossway	kɹɒsweɪ
crossways	kɹɒsweɪz
crosswind	kɹɒswɪnd
crosswinds	kɹɒswɪndz
crosswise	kɹɒswaɪz
crossword	kɹɒswɜd
crosswords	kɹɒswɜdz
crotchet	kɹɒtʃɪt
crotchets	kɹɒtʃɪts
crotchety	kɹɒtʃɪti
crotch	kɹɒtʃ
croton	kɹəʊtən
crouched	kɹaʊtʃt
crouches	kɹaʊtʃɪz
crouching	kɹaʊtʃɪŋ
crouch	kɹaʊtʃ
croupier	kɹupɪɐ
croupiers	kɹupiəz
croup	kɹup
croupy	kɹupi
crouse	kɹaʊs
crowbar	kɹəʊbɑ
crowbars	kɹəʊbɑz
crowberries	kɹəʊbəɹɪz
crowberry	kɹəʊbəɹi
crowded	kɹaʊdɪd
crowding	kɹaʊdɪŋ
crowd	kɹaʊd
crowds	kɹaʊdz
crowed	kɹəʊd
crowfoot	kɹəʊfʊt
crowing	kɹəʊɪŋ
crow	kɹəʊ
crowned	kɹaʊnd
crowning	kɹaʊnɪŋ
crown	kɹaʊn
crowns	kɹaʊnz
crows	kɹəʊz
crozier	kɹəʊzɪɐ
croziers	kɹəʊziəz
cruces	kɹusɪz
crucial	kɹuʃəl
crucially	kɹuʃəli
cruciate	kɹuʃɪeɪt
crucible	kɹusəbəl
crucibles	kɹusəbəlz
crucifer	kɹusɪfɐ
crucified	kɹusɪfaɪd
crucifies	kɹusɪfaɪz
crucifixes	kɹusɪfɪksɪz
crucifixion	kɹusɪfɪkʃən
crucifixions	kɹusɪfɪkʃənz
crucifix	kɹusɪfɪks
cruciform	kɹusɪfɔm
crucifying	kɹusɪfaɪɪŋ
crucify	kɹusɪfaɪ
cruck	kɹʌk
cruddy	kɹʌdi
crude	kɹud
crudely	kɹudli
crudeness	kɹudnəs
cruder	kɹudɐ
crudest	kɹudəst
crudities	kɹudɪtiz
crudity	kɹudɪti
crud	kɹʌd
cruelest	kɹuələst
cruel	kɹuəl
crueller	kɹuəlɐ
cruellest	kɹuələst
cruelly	kɹuəli
cruelties	kɹuəltɪz
cruelty	kɹuəlti
cruet	kɹut
cruets	kɹuts
cruised	kɹuzd
cruise	kɹuz
cruiser	kɹuzɐ
cruisers	kɹuzəz
cruiserweight	kɹuzəweɪt
cruises	kɹuzɪz
cruising	kɹuzɪŋ
cru	kɹu
crullers	kɹʌləz
crumbed	kɹʌmd
crumbing	kɹʌmɪŋ
crumb	kɹʌm
crumbled	kɹʌmbəld
crumble	kɹʌmbəl
crumbles	kɹʌmbəlz
crumbliest	kɹʌmblɪəst
crumbliness	kɹʌmblɪnəs
crumbling	kɹʌmblɪŋ
crumbly	kɹʌmbli
crumbs	kɹʌmz
crumby	kɹʌmbi
crumhorn	kɹʌmhɔn
crummiest	kɹʌmɪəst
crummy	kɹʌmi
crumpet	kɹʌmpɪt
crumpets	kɹʌmpɪts
crumping	kɹʌmpɪŋ
crump	kɹʌmp
crumpled	kɹʌmpəld
crumple	kɹʌmpəl
crumples	kɹʌmpəlz
crumpling	kɹʌmplɪŋ
crunched	kɹʌntʃt
cruncher	kɹʌntʃɐ
crunchers	kɹʌntʃəz
crunches	kɹʌntʃɪz
crunchier	kɹʌntʃɪɐ
crunchiest	kɹʌntʃɪəst
crunchiness	kɹʌntʃɪnəs
crunching	kɹʌntʃɪŋ
crunch	kɹʌntʃ
crunchy	kɹʌntʃi
crusaded	kɹuseɪdɪd
crusade	kɹuseɪd
crusader	kɹuseɪdɐ
crusaders	kɹuseɪdəz
crusades	kɹuseɪdz
crusading	kɹuseɪdɪŋ
cruse	kɹus
crushed	kɹʌʃt
crusher	kɹʌʃɐ
crushers	kɹʌʃəz
crushes	kɹʌʃɪz
crushing	kɹʌʃɪŋ
crushingly	kɹʌʃɪŋli
crush	kɹʌʃ
crus	kɹuz
crustacean	kɹʌsteɪʃən
crustaceans	kɹʌsteɪʃənz
crustaceous	kɹʌsteɪʃəs
crusted	kɹʌstɪd
crustiness	kɹʌstɪnəs
crusting	kɹʌstɪŋ
crust	kɹʌst
crusts	kɹʌsts
crusty	kɹʌsti
crutches	kɹʌtʃɪz
crutch	kɹʌtʃ
crux	kɹʌks
crwth	siɑdʌbəljutieɪtʃ
crybaby	kɹaɪbeɪbi
cryer	kɹaɪɐ
crying	kɹaɪɪŋ
cry	kɹaɪ
cryogenically	kɹaɪəʊdʒɛnɪkli
cryogenic	kɹaɪəʊdʒɛnɪk
cryogenics	kɹaɪəʊdʒɛnɪks
cryolite	kɹaɪəlaɪt
cryonic	kɹaɪɒnɪk
cryonics	kɹaɪɒnɪks
cryostat	kɹaɪəstæt
cryotherapy	kɹaɪəʊθɛɹəpi
cryptically	kɹɪptɪkli
cryptic	kɹɪptɪk
crypt	kɹɪpt
cryptogram	kɹɪptəɡɹæm
cryptographer	kɹɪptɒɡɹəfɐ
cryptographers	kɹɪptɒɡɹəfəz
cryptographic	kɹɪptəɡɹæfɪk
cryptography	kɹɪptɒɡɹəfi
cryptology	kɹɪptɒlədʒi
cryptomeria	kɹɪptəʊmiəɹɪɐ
crypts	kɹɪpts
crystal	kɹɪstəl
crystalline	kɹɪstɐlaɪn
crystallisation	kɹɪstɐlaɪzeɪʃən
crystallised	kɹɪstɐlaɪzd
crystallise	kɹɪstɐlaɪz
crystallises	kɹɪstɐlaɪzɪz
crystallising	kɹɪstɐlaɪzɪŋ
crystallographer	kɹɪstɐlɒɡɹəfɐ
crystallography	kɹɪstɐlɒɡɹəfi
crystals	kɹɪstəlz
csc	siɛssi
c	si
cs	siɛs
cubbies	kʌbɪz
cubbyhole	kʌbɪhəʊl
cubbyholes	kʌbɪhəʊlz
cubby	kʌbi
cubebs	kjubɛbz
cubed	kjubd
cubes	kjubz
cubical	kjubɪkəl
cubic	kjubɪk
cubicle	kjubɪkəl
cubicles	kjubɪkəlz
cubing	kjubɪŋ
cubism	kjubɪzəm
cubistic	kjubɪstɪk
cubist	kjubɪst
cubists	kjubɪsts
cubit	kjubɪt
cubits	kjubɪts
cub	kʌb
cuboid	kjubɔɪd
cubs	kʌbz
cuckolded	kʌkəʊldɪd
cuckolding	kʌkəʊldɪŋ
cuckold	kʌkəʊld
cuckolds	kʌkəʊldz
cuckoo	kʊku
cuckoos	kʊkuz
cucumber	kjukʌmbɐ
cucumbers	kjukʌmbəz
cuddled	kʌdəld
cuddle	kʌdəl
cuddles	kʌdəlz
cuddlesome	kʌdəlsʌm
cuddlier	kʌdliɐ
cuddliest	kʌdliəst
cuddling	kʌdlɪŋ
cuddly	kʌdli
cuddy	kʌdi
cudgel	kʌdʒəl
cudgels	kʌdʒəlz
cud	kʌd
cued	kjud
cueing	kjuɪŋ
cue	kju
cues	kjuz
cuesta	kjustɐ
cuffed	kʌft
cuffing	kʌfɪŋ
cuff	kʌf
cufflink	kʌflɪŋk
cufflinks	kʌflɪŋks
cuffs	kʌfs
cuing	kjuɪŋ
cuirass	kwɪɹæs
cuisine	kwɪzin
cuisines	kwɪzinz
cuisses	kwɪzzɪz
culinary	kjʊlɪnəɹi
culled	kʌld
cullet	kʌlɪt
culling	kʌlɪŋ
cullis	kʌliz
cull	kʌl
culls	kʌlz
cully	kʌli
culminated	kʌlmɪneɪtɪd
culminate	kʌlmɪneɪt
culminates	kʌlmɪneɪts
culminating	kʌlmɪneɪtɪŋ
culmination	kʌlmɪneɪʃən
culm	kʌlm
culottes	kjʊlɒts
culpability	kʌlpəbɪlɪti
culpable	kʌlpəbəl
culpably	kʌlpəbli
culpa	kʌlpɐ
culprit	kʌlpɹɪt
culprits	kʌlpɹɪts
cultic	kʌltɪk
cultish	kʌltɪʃ
cultism	kʌltɪzəm
cultist	kʌltɪst
cultivar	kʌltɪvɑ
cultivars	kʌltɪvɑz
cultivated	kʌltɪveɪtɪd
cultivate	kʌltɪveɪt
cultivates	kʌltɪveɪts
cultivating	kʌltɪveɪtɪŋ
cultivation	kʌltɪveɪʃən
cultivations	kʌltɪveɪʃənz
cultivator	kʌltɪveɪtɐ
cultivators	kʌltɪveɪtəz
cult	kʌlt
cults	kʌlts
cultural	kʌltʃəɹəl
culturally	kʌltʃəɹəli
cultured	kʌltʃəd
culture	kʌltʃɐ
cultures	kʌltʃəz
culturing	kʌltʃəɹɪŋ
culver	kʌlvɐ
culvert	kʌlvɜt
culverts	kʌlvɜts
cumbered	kʌmbəd
cumber	kʌmbɐ
cumbersome	kʌmbəsʌm
cumin	kjumɪn
cummerbund	kʌməbʌnd
cumming	kʌmɪŋ
cumquat	kʌmkwæt
cumulation	kjumjʊleɪʃən
cumulative	kjumjʊlətɪv
cumulatively	kjumjʊlətɪvli
cumulonimbus	kjumjʊlɒnɪmbəs
cumulous	kjumjʊləs
cumulus	kjumjʊləs
cuneiform	kʌneɪfɔm
cunnilingus	kʌnaɪlɪŋɡəs
cunning	kʌnɪŋ
cunningly	kʌnɪŋli
cunt	kʌnt
cunts	kʌnts
cupbearer	kʌpbeəɹɐ
cupboard	kʌbəd
cupboards	kʌbədz
cupcake	kʌpkeɪk
cupcakes	kʌpkeɪks
cupful	kʌpfəl
cupfuls	kʌpfəlz
cupidity	kjupɪdɪti
cupid	kjupɪd
cupids	kjupɪdz
cup	kʌp
cupola	kjupəʊlɐ
cupolas	kjupəʊləz
cuppa	kʌpɐ
cuppas	kʌpəz
cupped	kʌpt
cupping	kʌpɪŋ
cupronickel	kʌpɹənɪkəl
cuprous	kʌpɹəs
cups	kʌps
curable	kjɔɹəbəl
curacy	kjʊɹəsi
curare	kjʊɹeə
curassow	kjʊɹɐsəʊ
curated	kjɔɹeɪtɪd
curating	kjɔɹeɪtɪŋ
curation	kjʊɹeɪʃən
curative	kjʊɹətɪv
curatorial	kjʊɹɐtɔɹɪəl
curator	kjʊɹeɪtɐ
curatorship	kjʊɹeɪtəʃɪp
curators	kjʊɹeɪtəz
curbed	kɜbd
curbing	kɜbɪŋ
curb	kɜb
curbs	kɜbz
curcuma	kɜkumɐ
curd	kɜd
curdled	kɜdəld
curdle	kɜdəl
curdles	kɜdəlz
curdling	kɜdlɪŋ
curds	kɜdz
curdy	kɜdi
cured	kjɔd
cure	kjɔ
curer	kjʊɹɐ
curers	kjʊɹəz
cures	kjɔz
curet	kjʊɹət
curfew	kɜfju
curfews	kɜfjuz
curia	kjʊɹiɐ
curie	kjʊɹi
curies	kʌɹɪz
curing	kjɔɹɪŋ
curio	kjʊɹɪəʊ
curiosities	kjʊɹɪɒsɪtiz
curiosity	kjʊɹɪɒsɪti
curios	kjʊɹɪəʊz
curious	kjʊɹɪəs
curiously	kjʊɹɪəsli
curium	kjʊɹiəm
cur	kɜ
curled	kɜld
curler	kɜlɐ
curlers	kɜləz
curlew	kɜlu
curlews	kɜluz
curlicue	kɜlɪkju
curlicues	kɜlɪkjuz
curlier	kɜliɐ
curling	kɜlɪŋ
curl	kɜl
curls	kɜlz
curly	kɜli
curmudgeon	kɜmʌdʒən
curmudgeonly	kɜmədʒənli
curmudgeons	kɜmʌdʒənz
currant	kʌɹənt
currants	kʌɹənts
currencies	kʌɹənsiz
currency	kʌɹənsi
current	kʌɹənt
currently	kʌɹəntli
currents	kʌɹənts
curricula	kʌɹɪkjʊlɐ
curricular	kʌɹɪkjʊlɐ
curriculum	kʌɹɪkjʊləm
curriculums	kʌɹɪkjʊləmz
curried	kʌɹɪd
currier	kʌɹɪɐ
curries	kʌɹɪz
currying	kʌɹɪɪŋ
curry	kʌɹi
curse	kɜs
curses	kɜsɪz
cursing	kɜsɪŋ
cursive	kɜsɪv
curs	kɜz
cursor	kɜsɐ
cursory	kɜsəɹi
curtailed	kɜteɪld
curtailing	kɜteɪlɪŋ
curtail	kɜteɪl
curtailment	kɜteɪlmənt
curtails	kɜteɪlz
curtained	kɜtənd
curtain	kɜtən
curtains	kɜtənz
curtilage	kɜtɪlɪdʒ
curt	kɜt
curtly	kɜtli
curtseyed	kɜtsɪd
curtseying	kɜtsɪɪŋ
curtsey	kɜtsi
curtseys	kɜtsɪz
curtsied	kɜtsɪd
curtsies	kɜtsɪz
curtsying	kɜtsɪɪŋ
curtsy	kɜtsi
curvaceous	kɜveɪʃəs
curvacious	kɜveɪʃəs
curvature	kɜvətʃɐ
curvatures	kɜvətʃəz
curved	kɜvd
curve	kɜv
curves	kɜvz
curvier	kɜvɪɐ
curvilinear	kɜvɪlɪniə
curving	kɜvɪŋ
curvy	kɜvi
cushiest	kʊʃɪəst
cushioned	kʊʃənd
cushioning	kʊʃənɪŋ
cushion	kʊʃən
cushions	kʊʃənz
cushiony	kʊʃəni
cushy	kʊʃi
cusped	kʌspt
cuspid	kʌspɪd
cusp	kʌsp
cusps	kʌsps
cussedness	kʌstnəs
cusses	kʌsɪz
cussing	kʌsɪŋ
cuss	kʌs
custard	kʌstəd
custards	kʌstədz
custodial	kʌstəʊdɪəl
custodian	kʌstəʊdiən
custodianship	kʌstəʊdiənʃɪp
custodians	kʌstəʊdiənz
custody	kʌstədi
customarily	kʌstəmɛɹəli
customary	kʌstəməɹi
customer	kʌstəmɐ
customers	kʌstəməz
customisation	kʌstəmaɪzeɪʃən
customised	kʌstəmaɪzd
customise	kʌstəmaɪz
customises	kʌstəmaɪzɪz
customising	kʌstəmaɪzɪŋ
custom	kʌstəm
customs	kʌstəmz
cutaneous	kjuteɪniəs
cutaway	kʌtəweɪ
cutaways	kʌtəweɪz
cutback	kʌtbæk
cutbacks	kʌtbæks
cutch	kʌtʃ
cute	kjut
cutely	kjutli
cuteness	kjutnəs
cuter	kjutɐ
cutest	kjutəst
cutesy	kjutəsi
cutey	kjuti
cuticle	kjutɪkəl
cuticles	kjutɪkəlz
cutie	kjuti
cuties	kjutɪz
cutis	kjutiz
cut	kʌt
cutlasses	kʌtləsɪz
cutlass	kʌtləs
cutler	kʌtlɐ
cutlers	kʌtləz
cutlery	kʌtləɹi
cutlet	kʌtlət
cutlets	kʌtləts
cutoff	kʌtɒf
cutout	kʌtaʊt
cutouts	kʌtaʊts
cuts	kʌts
cutter	kʌtɐ
cutters	kʌtəz
cutthroat	kʌtθɹəʊt
cutthroats	kʌtθɹəʊts
cutting	kʌtɪŋ
cuttings	kʌtɪŋz
cuttlefish	kʌtəlfɪʃ
cuttle	kʌtəl
cuttles	kʌtəlz
cutty	kʌti
cutworm	kʌtwɜm
cuvette	kjuvɛt
cwm	kʊm
cw	sidʌbəlju
cyanide	saɪɐnaɪd
cyanosis	saɪɐnəʊsɪs
cyan	saɪæn
cybernetic	saɪbənɛtɪk
cybernetics	saɪbənɛtɪks
cyberspace	saɪbəspeɪs
cyborg	saɪbɔɡ
cyborgs	saɪbɔɡz
cycad	saɪkæd
cycads	saɪkædz
cyclamen	saɪkleɪmɛn
cycled	saɪkəld
cycle	saɪkəl
cycles	saɪkəlz
cycleway	saɪkəlweɪ
cycleways	saɪklweɪz
cyclically	saɪklɪkli
cyclical	saɪklɪkəl
cyclic	saɪklɪk
cycling	saɪklɪŋ
cyclist	saɪklɪst
cyclists	saɪklɪsts
cycloid	saɪklɔɪd
cyclone	saɪkləʊn
cyclones	saɪkləʊnz
cyclonic	saɪklɒnɪk
cyclops	saɪkləps
cyclorama	saɪkləɹæmɐ
cyclotron	saɪklətɹɒn
cygnet	sɪɡnɪt
cygnets	sɪɡnɪts
cylinder	sɪlɪndɐ
cylinders	sɪlɪndəz
cylindrical	sɪlɪndɹɪkəl
cymbal	sɪmbəl
cymbals	sɪmbəlz
cynically	sɪnɪkli
cynical	sɪnɪkəl
cynicism	sɪnɪsɪzəm
cynic	sɪnɪk
cynics	sɪnɪks
cypher	saɪfɐ
cypresses	saɪpɹəsɪz
cypress	saɪpɹəs
cysteine	sɪstaɪn
cystic	sɪstɪk
cystitis	sɪstaɪtɪs
cysts	sɪsts
cyst	sɪst
cytology	saɪtɒlədʒi
cytoplasm	saɪtəplæzəm
cytosine	saɪtəsaɪn
cytotoxic	saɪtətɒksɪk
czardas	tsɑdəz
czarist	tsɑɹɪst
czar	tsɑ
dabbed	dæbd
dabber	dæbɐ
dabbers	dæbəz
dabbing	dæbɪŋ
dabble	dæbəl
dabbled	dæbəld
dabbler	dæblɐ
dabblers	dæbləz
dabbles	dæbəlz
dabbling	dæblɪŋ
dabchick	dæbtʃɪk
dab	dæb
dabs	dæbz
dace	deɪs
dacha	dætʃɐ
dachas	dætʃəz
dachshund	dætʃʃʌnd
dachshunds	dætʃʃʌndz
dactyl	dæktaɪl
dada	dɑdɐ
dadaism	dædeɪɪzəm
dadaist	dædeɪɪst
dadaists	dædeɪɪsts
dadas	dɑdəz
dad	dæd
daddies	dædɪz
daddy	dædi
dado	dɑdəʊ
dadoes	dɑdəʊz
dads	dædz
daemon	dimən
daemonic	dimɒnɪk
daff	dæf
daffodil	dæfədɪl
daffodils	dæfədɪlz
daffy	dæfi
daft	dɑft
dafter	dɑftɐ
daftest	dɑftəst
daftness	dɑftnəs
dag	dæɡ
dagger	dæɡɐ
daggers	dæɡəz
dago	deɪɡəʊ
dags	dæɡz
daguerreotype	deɪɡɹɪɒtaɪp
daguerreotypes	deɪɡɹɪɒtaɪps
dah	dɑ
dahl	dɑl
dahlia	deɪliɐ
dahlias	deɪliəz
dahs	dɑz
daikon	deɪkən
dailies	deɪliz
daily	deɪli
daintier	deɪntɪɐ
dainties	deɪntɪz
daintiest	deɪntɪəst
daintily	deɪntɪli
daintiness	deɪntɪnəs
dainty	deɪnti
daiquiri	deɪkwiəɹi
daiquiris	deɪkwɪɹɪs
dairies	deəɹɪz
dairy	deəɹi
dairying	deəɹɪɪŋ
dairymaid	deəɹɪmeɪd
dairyman	deəɹɪmən
dais	deɪɪs
daises	deɪzɪz
daisies	deɪzɪz
daisy	deɪzi
dak	dæk
daks	dæks
dale	deɪl
dales	deɪlz
dalesman	deɪlzmən
daleth	deɪləθ
dalliance	dæliəns
dalliances	dæliənsɪz
dallied	dælid
dally	dæli
dallying	dæliɪŋ
dalmatian	dælmeɪʃən
dalmatians	dælmeɪʃənz
daltonism	dɒltənɪzəm
damage	dæmɪdʒ
damaged	dæmɪdʒd
damages	dæmɪdʒɪz
damaging	dæmɪdʒɪŋ
damagingly	dæmɪdʒɪŋli
damascene	dæmɐsin
damascened	dæmæsənd
damascenes	dæmɐsinz
damask	dæmɑsk
damasks	dæmɑsks
dam	dæm
dame	deɪm
dames	deɪmz
dammed	dæmd
damming	dæmɪŋ
dammit	dæmɪt
damnable	dæməbəl
damnably	dæməbli
damnation	dæmneɪʃən
damn	dæm
damndest	dæmndəst
damned	dæmd
damnedest	dæmnɛdəst
damning	dæmɪŋ
damns	dæmz
damp	dæmp
damped	dæmpt
dampen	dæmpən
dampened	dæmpənd
dampener	dæmpənɐ
dampeners	dæmpənəz
dampening	dæmpənɪŋ
dampens	dæmpənz
damper	dæmpɐ
dampers	dæmpəz
damping	dæmpɪŋ
dampish	dæmpɪʃ
dampness	dæmpnəs
dampproof	dæmpɹuf
damps	dæmps
dams	dæmz
damsel	dæmsəl
damselfish	dæmsɛlfɪʃ
damselflies	dæmsɪlflaɪz
damselfly	dæmsɪlflaɪ
damsels	dæmsəlz
damson	dæmsən
damsons	dæmsənz
danceable	dɑnsəbəl
danced	dɑnst
dance	dɑns
dancer	dɑnsɐ
dancers	dɑnsəz
dances	dɑnsɪz
dancing	dɑnsɪŋ
dandelion	dændɪlaɪən
dandelions	dændɪlaɪənz
dander	dændɐ
dandier	dændɪɐ
dandies	dændɪz
dandiest	dændɪəst
dandified	dændɪfaɪd
dandled	dændəld
dandruff	dændɹʌf
dandy	dændi
dandyism	dændɪɪzəm
dang	dæŋ
danged	dæŋd
danger	deɪndʒɐ
dangerous	deɪndʒəɹəs
dangerously	deɪndʒəɹəsli
dangerousness	deɪndʒəɹəsnəs
dangers	deɪndʒəz
danging	dæŋɪŋ
dangle	dæŋɡəl
dangled	dæŋɡəld
dangler	dæŋɡlɐ
danglers	dæŋɡləz
dangles	dæŋɡəlz
dangling	dæŋɡəlɪŋ
danish	deɪnɪʃ
danishes	deɪnɪʃɪz
dank	dæŋk
dap	dæp
daphne	dæfni
daphnes	dæfniz
dapper	dæpɐ
dapple	dæpəl
dappled	dæpəld
dapples	dæpəlz
dappling	dæplɪŋ
darbies	dɑbɪz
dared	deəd
dare	deə
daredevil	deədɛvəl
daredevils	deədɛvəlz
daresay	deəseɪ
dares	deəz
daring	deəɹɪŋ
daringly	deəɹɪŋli
dariole	dɑɹɪəʊl
dark	dɑk
darken	dɑkən
darkened	dɑkənd
darkening	dɑkənɪŋ
darkens	dɑkənz
darker	dɑkɐ
darkest	dɑkəst
darkie	dɑki
darkies	dɑkiz
darkish	dɑkɪʃ
darkling	dɑklɪŋ
darkly	dɑkli
darkness	dɑknəs
darkroom	dɑkɹum
darkrooms	dɑkɹumz
darksome	dɑksʌm
darky	dɑki
darling	dɑlɪŋ
darlings	dɑlɪŋz
darn	dɑn
darned	dɑnd
darnedest	dɑndəst
darner	dɑnɐ
darners	dɑnəz
darning	dɑnɪŋ
dartboard	dɑtbɔd
dartboards	dɑtbɔdz
dart	dɑt
darted	dɑtɪd
darter	dɑtɐ
darters	dɑtəz
darting	dɑtɪŋ
darts	dɑts
dashboard	dæʃbɔd
dashboards	dæʃbɔdz
dash	dæʃ
dashed	dæʃt
dasher	dæʃɐ
dashes	dæʃɪz
dashing	dæʃɪŋ
dashingly	dæʃɪŋli
dastard	dɑstəd
dastardly	dɑstədli
databank	deɪtəbæŋk
databanks	deɪtəbæŋks
database	deɪtəbeɪs
databases	deɪtəbeɪsɪz
datable	deɪtəbəl
data	deɪtɐ
dateable	deɪtəbəl
dated	deɪtɪd
date	deɪt
dateless	deɪtləs
dateline	deɪtlaɪn
dater	deɪtɐ
daters	deɪtəz
dates	deɪts
dating	deɪtɪŋ
dative	dætɪv
datum	deɪtəm
daub	dɔb
daubed	dɔbd
daube	dɔb
dauber	dɔbɐ
daubing	dɔbɪŋ
daubs	dɔbz
daughter	dɔtɐ
daughters	dɔtəz
daunt	dɔnt
daunted	dɔntɪd
daunting	dɔntɪŋ
dauntingly	dɔntɪŋli
dauntless	dɔntləs
daunts	dɔnts
dauphin	dɔfɪn
dauphine	dɔfin
davenport	dævənpɔt
davenports	dævənpɔts
davit	dævɪt
davits	dævɪts
dawdled	dɔdəld
dawdle	dɔdəl
dawdler	dɔdlɐ
dawdling	dɔdlɪŋ
daw	dɔ
dawn	dɔn
dawned	dɔnd
dawning	dɔnɪŋ
dawns	dɔnz
daws	dɔz
daybed	deɪbd
daybook	deɪbʊk
daybreak	deɪbɹeɪk
daycare	deɪkeə
day	deɪ
daydream	deɪdɹim
daydreamed	deɪdɹimd
daydreamer	deɪdɹimɐ
daydreaming	deɪdɹimɪŋ
daydreams	deɪdɹimz
daylight	deɪlaɪt
daylights	deɪlaɪts
days	deɪz
daytime	deɪtaɪm
dazed	deɪzd
daze	deɪz
dazes	deɪzɪz
dazzle	dæzəl
dazzled	dæzəld
dazzler	dæzlɐ
dazzlers	dæzləz
dazzles	dæzəlz
dazzling	dæzlɪŋ
dazzlingly	dæzəlɪŋli
db	dibi
dc	disi
d	di
deacon	dikən
deaconess	dikəʊnəs
deacons	dikənz
deactivated	diæktɪveɪtɪd
deactivate	diæktɪveɪt
deactivates	diæktɪveɪts
deactivating	diæktɪveɪtɪŋ
deactivation	diæktɪveɪʃən
deadbeat	dɛdbit
deadbeats	dɛdbits
dead	dɛd
deaden	dɛdən
deadened	dɛdənd
deadening	dɛdənɪŋ
deadens	dɛdənz
deader	dɛdɐ
deadeye	dɛdaɪ
deadfall	dɛdfɔl
deadhead	dɛdhɛd
deadheaded	dɛdhɛdɪd
deadheading	dɛdhɛdɪŋ
deadheads	dɛdhɛdz
deadlier	dɛdliɐ
deadliest	dɛdliəst
deadlight	dɛdlaɪt
deadline	dɛdlaɪn
deadlines	dɛdlaɪnz
deadliness	dɛdlinəs
deadlock	dɛdlɒk
deadlocked	dɛdlɒkt
deadlocks	dɛdlɒks
deadly	dɛdli
deadness	dɛdnəs
deadpan	dɛdpæn
deadweight	dɛdweɪt
deadwood	dɛdwʊd
deaf	dɛf
deafen	dɛfən
deafened	dɛfənd
deafening	dɛfənɪŋ
deafeningly	dɛfənɪŋli
deafer	dɛfɐ
deafness	dɛfnəs
deal	dil
dealer	dilɐ
dealers	diləz
dealership	diləʃɪp
dealerships	diləʃɪps
dealing	dilɪŋ
dealings	dilɪŋz
deals	dilz
dealt	dɛlt
dean	din
deanery	dinəɹi
deans	dinz
dear	diə
dearer	diəɹɐ
dearest	diəɹəst
dearie	diəɹi
dearies	diəɹɪz
dearly	diəli
dears	diəz
dearth	dɜθ
deary	diəɹi
